seg;08/12/2014;;;;;;;;
ter;09/12/2014;;;;;;;;
qua;10/12/2014;;;;;;;;
qui;11/12/2014;;;;;;;;
sex;12/12/2014;;;;;;;;
sáb;13/12/2014;;;;;;;;
dom;14/12/2014;;;;;;;;
seg;15/12/2014;;15:52;19:56;21:07;02:27;;;
ter;16/12/2014;;15:51;21:01;22:01;01:52;;;
qua;17/12/2014;;15:56;20:57;21:58;02:02;;;
qui;18/12/2014;;16:04;21:01;22:01;02:17;;;
sex;19/12/2014;;15:47;21:10;22:12;01:53;;;
sáb;20/12/2014;;;;;;;;
Soma;;;;;;;;;
dom;21/12/2014;;;;;;;;
seg;22/12/2014;;15:56;21:06;22:06;01:49;;;
ter;23/12/2014;;15:51;21:13;22:14;01:50;;;
qua;24/12/2014;;;;;;;;
qui;25/12/2014;;;;;;;;
sex;26/12/2014;;15:51;21:14;22:18;01:43;;;
sáb;27/12/2014;;;;;;;;
dom;28/12/2014;;;;;;;;
seg;29/12/2014;;15:52;21:19;22:19;01:23;;;
ter;30/12/2014;;16:08;21:03;22:03;01:30;;;
qua;31/12/2014;;;;;;;;
qui;01/01/2015;;;;;;;;
sex;02/01/2015;;;;;;;;
sáb;03/01/2015;;;;;;;;
dom;04/01/2015;;;;;;;;
seg;05/01/2015;;15:51;20:54;21:58;01:34;;;
ter;06/01/2015;;15:48;21:01;22:06;02:35;;;
qua;07/01/2015;;15:56;21:00;22:09;02:20;;;
qui;08/01/2015;;15:55;21:15;22:17;01:35;;;
sex;09/01/2015;;15:52;21:09;22:11;01:30;;;
sáb;10/01/2015;;;;;;;;
dom;11/01/2015;;;;;;;;
seg;12/01/2015;;15:52;21:06;22:11;01:39;;;
ter;13/01/2015;;15:57;21:03;22:06;01:48;;;
qua;14/01/2015;;15:55;21:01;22:04;01:35;;;
qui;15/01/2015;;15:59;21:18;22:18;01:30;;;
sex;16/01/2015;;15:49;21:36;22:36;01:42;;;
sáb;17/01/2015;;;;;;;;
dom;18/01/2015;;;;;;;;
seg;19/01/2015;;16:12;20:53;21:54;02:33;;;
ter;20/01/2015;;15:47;21:04;22:05;01:31;;;
Soma;;;;;;;;;
qua;21/01/2015;;15:52;21:00;22:01;01:37;;;
qui;22/01/2015;;15:25;21:15;22:15;01:35;;;
sex;23/01/2015;;15:54;20:56;22:02;01:34;;;
sáb;24/01/2015;;;;;;;;
dom;25/01/2015;;;;;;;;
seg;26/01/2015;;15:51;21:15;22:16;02:06;;;
ter;27/01/2015;;15:57;20:56;21:59;01:31;;;
qua;28/01/2015;;16:10;20:47;21:48;01:32;;;
qui;29/01/2015;;16:16;20:53;21:53;01:30;;;
sex;30/01/2015;;16:13;21:02;22:02;01:30;;;
sáb;31/01/2015;;;;;;;;
dom;01/02/2015;;;;;;;;
seg;02/02/2015;;16:11;20:58;21:59;01:30;;;
ter;03/02/2015;;16:15;20:59;22:00;01:31;;;
qua;04/02/2015;;16:13;20:57;21:59;01:37;;;
qui;05/02/2015;;16:14;20:54;21:56;01:53;;;
sex;06/02/2015;;14:17;19:31;20:33;23:53;;;
sáb;07/02/2015;;;;;;;;
dom;08/02/2015;;;;;;;;
seg;09/02/2015;;16:12;20:57;22:00;01:43;;;
ter;10/02/2015;;16:10;21:29;22:30;02:07;;;
qua;11/02/2015;;16:12;20:59;22:01;02:20;;;
qui;12/02/2015;;16:09;22:11;;;;;
sex;13/02/2015;;16:10;21:17;22:23;01:48;;;
sáb;14/02/2015;;;;;;;;
dom;15/02/2015;;;;;;;;
seg;16/02/2015;;16:13;21:03;22:10;02:19;;;
ter;17/02/2015;;16:09;21:05;22:12;01:31;;;
qua;18/02/2015;;16:13;21:03;22:08;01:42;;;
qui;19/02/2015;;16:13;21:00;22:01;01:43;;;
sex;20/02/2015;;16:11;21:00;22:04;02:07;;;
Soma;;;;;;;;;
sáb;21/02/2015;;;;;;;;
dom;22/02/2015;;;;;;;;
seg;23/02/2015;;16:11;20:55;21:56;01:46;;;
ter;24/02/2015;;16:11;21:02;22:04;01:33;;;
qua;25/02/2015;;16:12;21:11;22:11;01:59;;;
qui;26/02/2015;;16:06;21:05;22:07;02:37;;;
sex;27/02/2015;;;;;;;;
sáb;28/02/2015;;;;;;;;
dom;01/03/2015;;;;;;;;
seg;02/03/2015;;16:11;21:03;22:04;01:53;;;
ter;03/03/2015;;16:09;21:09;22:12;02:14;;;
qua;04/03/2015;;16:09;20:59;22:01;01:50;;;
qui;05/03/2015;;16:10;20:55;21:58;01:33;;;
sex;06/03/2015;;15:47;21:00;22:00;01:25;;;
sáb;07/03/2015;;;;;;;;
dom;08/03/2015;;;;;;;;
seg;09/03/2015;;16:14;21:09;22:09;02:29;;;
ter;10/03/2015;;16:12;20:54;21:54;01:46;;;
qua;11/03/2015;;15:29;21:07;22:08;01:51;;;
qui;12/03/2015;;16:11;20:54;21:54;01:36;;;
sex;13/03/2015;;;;;;;;
sáb;14/03/2015;;;;;;;;
dom;15/03/2015;;;;;;;;
seg;16/03/2015;;16:09;20:55;21:58;02:31;;;
ter;17/03/2015;;16:11;21:13;22:13;01:52;;;
qua;18/03/2015;;16:00;20:55;21:57;01:48;;;
qui;19/03/2015;;16:10;20:59;22:00;01:57;;;
sex;20/03/2015;;16:08;21:19;22:19;01:36;;;
Soma;;;;;;;;;
sáb;21/03/2015;;;;;;;;
dom;22/03/2015;;;;;;;;
seg;23/03/2015;;16:11;21:28;22:28;01:45;;;
ter;24/03/2015;;;;;;;;
qua;25/03/2015;;16:15;21:02;22:03;01:43;;;
qui;26/03/2015;;16:09;21:20;22:20;01:42;;;
sex;27/03/2015;;16:12;21:06;22:09;01:36;;;
sáb;28/03/2015;;;;;;;;
dom;29/03/2015;;;;;;;;
seg;30/03/2015;;16:09;21:30;22:40;01:55;;;
ter;31/03/2015;;16:10;21:07;22:09;01:38;;;
qua;01/04/2015;;16:18;21:35;22:37;01:45;;;
